form	lemma	POS	morph
ན་མོ་	ན་མོ་	X
གུ་རུ་པ་	གུ་རུ་པ་	PROPN
ར་	ར་	ADP
སུ་	ལ་	PART
ཁ་	ཁ་	PRON
ཙཀྲ་	ཙཀྲ་	NO_POS
མཎྜལ་		NON_WORD
བྷྱཿ་		NON_WORD
བླ་མ་	བླ་མ་	NOUN
བདེ་མཆོག་	བདེ་མཆོག་	PROPN
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
འི་	གི་	PART
གཏོར་མ་	གཏོར་མ་	NOUN
ལ་	ལ་	PART
ཟན་	ཟན་	NOUN
ལེབ་	ལེབ་	NO_POS
གྲུ་བཞི་	གྲུ་བཞི་	ADJ
འི་	གི་	PART
སྟེང་	སྟེང་	NOUN
བང་རིམ་	བང་རིམ་	NOUN
ཟླུམ་པོ་	ཟླུམ་པོ་	ADJ
བཞི་	བཞི་	NUM
འི་	གི་	PART
ཁ་	ཁ་	PRON
ར་	ལ་	PART
སྨིན་	སྨིན་	VERB
ལུགས་	ལུགས་	NOUN
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
གཏོར་མ་	གཏོར་མ་	NOUN
།		PUNCT
བང་རིམ་	བང་རིམ་	NOUN
དང་པོ་	དང་པོ་	ADJ
འི་	གི་	PART
སྟེང་	སྟེང་	NOUN
འཁོར་	འཁོར་	NOUN
དཔལ་	དཔལ་	OTHER
གཏོ་	གཏོ་	VERB
ཆུང་ངུ་	ཆུང་ངུ་	ADJ
བཞི་	བཞི་	NUM
།		PUNCT
བང་རིམ་	བང་རིམ་	NOUN
གཉིས་པ་	གཉིས་པ་	NUM
།		PUNCT
གསུམ་པ་	གསུམ་པ་	NUM
།		PUNCT
བཞི་པ་	བཞི་པ་	ADJ
གསུམ་	གསུམ་	NUM
ལ་	ལ་	PART
ཕྱོགས་	ཕྱོགས་	NOUN
བཞི་	བཞི་	NUM
མཚམས་	མཚམས་	NOUN
བཞི་	བཞི་	NUM
ར་	ལ་	PART
དཔལ་	དཔལ་	OTHER
གཏོ་	གཏོ་	VERB
ཆུང་ངུ་	ཆུང་ངུ་	ADJ
བརྒྱད་	བརྒྱད་	NUM
རེ་	རེ་	DET
།		PUNCT
རྩ་བ་	རྩ་བ་	NOUN
ར་	ལ་	PART
དཔལ་	དཔལ་	OTHER
གཏོ་	གཏོ་	VERB
ཆུང་	ཆུང་	VERB
བརྒྱད་	བརྒྱད་	NUM
།		PUNCT
བ་	བ་	NOUN
རྣམས་	རྣམས་	DET
ཐེབས་	ཐེབས་	VERB
ཀྱུ་	ཀྱུ་	OTHER
ས་	གིས་	PART
བསྐོར་བ་	བསྐོར་བ་	VERB
རྟེན་	རྟེན་	NOUN
གཏོ་	གཏོ་	VERB
དང་	དང་	NO_POS
།		PUNCT
སྨན་	སྨན་	NOUN
རཀ་		NON_WORD
གི་	གི་	PART
དབུ་	དབུ་	NOUN
སུ་	ལ་	PART
བླ་	བླ་	NOUN
གཏོ་	གཏོ་	VERB
དམར་པོ་	དམར་པོ་	ADJ
གཅིག་	གཅིག་	NUM
དང་	དང་	NO_POS
།		PUNCT
གསོལ་	གསོལ་	VERB
ཀ་	ཀ་	DET
ཕོ་	ཕོ་	NOUN
རྒྱུད་	རྒྱུད་	NOUN
དམ་ཅན་	དམ་ཅན་	NOUN
སྤྱི་གཏོར་	སྤྱི་གཏོར་	NO_POS
།		PUNCT
མོ་རྒྱུད་	མོ་རྒྱུད་	NO_POS
མ་	མ་	PART
མགོན་	མགོན་	NOUN
།		PUNCT
ཕྱག་	ཕྱག་	NOUN
བཞི་པ་	བཞི་པ་	ADJ
ར་	ལ་	PART
དཔུང་	དཔུང་	NOUN
རོང་	རོང་	PROPN
འཁོར་	འཁོར་	NOUN
བརྒྱད་	བརྒྱད་	NUM
ཅན་	ཅན་	PART
།		PUNCT
དུད་	དུད་	NO_POS
སོལ་	སོལ་	VERB
མ་ལ་	མ་ལ་	INTJ
དམར་གཏོར་	དམར་གཏོར་	NO_POS
།		PUNCT
དུར་ཁྲོད་	དུར་ཁྲོད་	NOUN
བདག་པོ་	བདག་པོ་	NOUN
དམར་གཏོར་	དམར་གཏོར་	NO_POS
གྲུ་གསུམ་	གྲུ་གསུམ་	NOUN
ཆེ་ཆུང་	ཆེ་ཆུང་	ADJ
གཉིས་	གཉིས་	NUM
བཅའ་	བཅའ་	VERB
དགོས་	དགོས་	VERB
འདུག་	འདུག་	VERB
དགེ་	དགེ་	NOUN
། །།		PUNCT
