form	lemma	POS	morph
༁		PUNCT
ྃ་		NON_WORD
༔		PUNCT
ཞི་བྱེད་	ཞི་བྱེད་	NOUN
ལྷ་མོ་	ལྷ་མོ་	NOUN
བདུན་	བདུན་	NUM
གྱི་	གི་	PART
དབང་	དབང་	NOUN
བསྐུར་བ་	བསྐུར་བ་	VERB
འི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
འི་	གི་	PART
གསལ་བྱེད་	གསལ་བྱེད་	NOUN
ཡིད་འོང་	ཡིད་འོང་	ADJ
ཟླ་བ་	ཟླ་བ་	NOUN
འི་	གི་	PART
བདུད་རྩི་	བདུད་རྩི་	NOUN
ནག་འགྲོས་	ནག་འགྲོས་	OTHER
སུ་	ལ་	PART
བཀོད་པ་	བཀོད་པ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
ན་མོ་	ན་མོ་	X
གུ་རུ་	གུ་རུ་	PROPN
བིདྱཱ་		NON_WORD
ར་	ར་	ADP
ཛྙཱི་		NON_WORD
སརྦ་	སརྦ་	NO_POS
སྨེ་	སྨེ་	NO_POS
། །		PUNCT
གང་	གང་	NO_POS
རྣམས་	རྣམས་	DET
ཀྱི་	གི་	PART
ནི་	ནི་	NO_POS
མཚན་	མཚན་	NOUN
ཙམ་	ཙམ་	DET
ཡང་	ཀྱང་	PART
། །		PUNCT
ཟླ་འོད་	ཟླ་འོད་	PROPN
བདུད་རྩི་	བདུད་རྩི་	NOUN
ལྟ་	ལྟ་	OTHER
བསིལ་བ་	བསིལ་བ་	VERB
ས་	གིས་	PART
། །		PUNCT
ཚད་པ་	ཚད་པ་	VERB
ས་	གིས་	PART
ཉེན་	ཉེན་	VERB
ལ་	ལ་	PART
གྲིབ་མ་	གྲིབ་མ་	NOUN
འི་	གི་	PART
གདུགས་	གདུགས་	NOUN
། །		PUNCT
ཅི་དག་	ཅི་དགའ་	NO_POS
ར་	ལ་	PART
སྦྱིན་པ་	སྦྱིན་པ་	VERB
དེ་	དེ་	DET
ས་	གིས་	PART
སྐྱོངས་	སྐྱོངས་	VERB
ཤིག་	ཅིག་	PART
།		PUNCT
རིག་པ་	རིག་པ་	VERB
འི་	གི་	PART
རྒྱལ་མོ་	རྒྱལ་མོ་	OTHER
རྣམ་	རྣམ་	NOUN
བདུན་	བདུན་	NUM
གྱི་	གི་	PART
། །		PUNCT
དབང་	དབང་	NOUN
གིས་	གིས་	PART
སློབ་མ་	སློབ་མ་	NOUN
སྨིན་པ་	སྨིན་པ་	VERB
དང་	དང་	NO_POS
། །		PUNCT
ནད་གདོན་	ནད་གདོན་	OTHER
ཞི་	ཞི་	VERB
སོགས་	སོགས་	DET
འདོད་	འདོད་	VERB
སྟེར་བ་	སྟེར་བ་	VERB
ས་	གིས་	PART
། །		PUNCT
ཡིད་བཞིན་	ཡིད་བཞིན་	OTHER
ནོར་བུ་	ནོར་བུ་	NOUN
མཆོག་	མཆོག་	ADJ
ཏུ་	ལ་	PART
ཟུངས་	ཟུངས་	VERB
།		PUNCT
ཞི་བྱེད་	ཞི་བྱེད་	NOUN
ལྷ་མོ་	ལྷ་མོ་	NOUN
བདུན་	བདུན་	NUM
གྱི་	གི་	PART
དབང་	དབང་	NOUN
བསྐུར་བ་	བསྐུར་བ་	VERB
ལ་	ལ་	PART
གཉིས་	གཉིས་	NUM
།		PUNCT
སྦྱོར་བ་	སྦྱོར་བ་	VERB
ཡོ་བྱད་	ཡོ་བྱད་	NOUN
ཀྱི་	གི་	PART
གཤོམ་	གཤོམ་	NO_POS
།		PUNCT
དངོས་གཞི་	དངོས་གཞི་	NOUN
དབང་	དབང་	NOUN
གི་	གི་	PART
ལས་རིམ་	ལས་རིམ་	OTHER
མོ་	གོ་	PART
། །		PUNCT
དང་པོ་	དང་པོ་	ADJ
ནི་	ནི་	NO_POS
།		PUNCT
སྟེགས་	སྟེགས་	NOUN
དཀར་པོ་	དཀར་པོ་	ADJ
གཙང་མ་	གཙང་མ་	ADJ
འི་	གི་	PART
སྟེང་	སྟེང་	NOUN
མཎྜལ་		NON_WORD
པདྨ་	པདྨ་	NOUN
