form	lemma	POS	morph
རྫོགས་པ་	རྫོགས་པ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
སྙིང་པོ་	སྙིང་པོ་	NOUN
ཧཱུྃ་		NON_WORD
གི་	གི་	PART
སྐོར་	སྐོར་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
༔		PUNCT
ཞི་བྱེད་	ཞི་བྱེད་	NOUN
རིན་ཆེན་	རིན་ཆེན་	OTHER
ཕྲ་	ཕྲ་	NOUN
བཀོད་	བཀོད་	VERB
བཞུགས་	བཞུགས་	VERB
༔		PUNCT
གེགས་	གེགས་	NOUN
སེལ་	སེལ་	VERB
ཡིད་བཞིན་	ཡིད་བཞིན་	OTHER
ནོར་བུ་	ནོར་བུ་	NOUN
༔ ༁		PUNCT
ྃ་		NON_WORD
༔ ༔		PUNCT
		
།		PUNCT
རིག་པ་	རིག་པ་	VERB
སྐྱེ་	སྐྱེ་	NOUN
མེད་	མེད་	VERB
སྤྲིན་	སྤྲིན་	NOUN
བྲལ་	བྲལ་	VERB
ནམ་མཁའ་	ནམ་མཁའ་	NOUN
ལ་	ལ་	PART
༔		PUNCT
རྟོག་པ་	རྟོག་པ་	VERB
འི་	གི་	PART
རང་རྒྱུད་	རང་རྒྱུད་	NOUN
རང་ས་	རང་ས་	OTHER
ར་	ལ་	PART
ཤ་	ཤ་	VERB
ཡལ་	ཡལ་	NO_POS
གྱི་	གི་	PART
༔		PUNCT
ཆུ་རླབས་	ཆུ་རླབས་	NOUN
རང་	རང་	PRON
སངས་	སངས་	VERB
རྟོག་	རྟོག་	VERB
མེད་	མེད་	VERB
རང་གྲོལ་བ་	རང་གྲོལ་བ་	NOUN
༔		PUNCT
གེགས་	གེགས་	NOUN
སེལ་	སེལ་	VERB
ཡིད་བཞིན་	ཡིད་བཞིན་	OTHER
ནོར་བུ་	ནོར་བུ་	NOUN
དེ་	སྟེ་	PART
ལ་	ལ་	PART
བསྟོད་	བསྟོད་	VERB
༔		PUNCT
འདི་	འདི་	DET
ར་	ལ་	PART
རྣལ་འབྱོར་པ་	རྣལ་འབྱོར་པ་	NOUN
ཉམས་	ཉམས་	NOUN
སུ་	ལ་	PART
ལེན་པ་	ལེན་པ་	VERB
འབད་རྩོལ་	འབད་རྩོལ་	NO_POS
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
དྲག་པོ་	དྲག་པོ་	ADJ
ས་	གིས་	PART
ཉམས་	ཉམས་	NOUN
སུ་	ལ་	PART
བླང་པ་	བླང་པ་	NO_POS
རྣམས་	རྣམས་	DET
ལ་	ལ་	PART
༔		PUNCT
ལམ་	གམ་	PART
གྱི་	གི་	PART
སྣང་བ་	སྣང་བ་	VERB
འཕེལ་འགྲིབ་	འཕེལ་འགྲིབ་	NO_POS
སེལ་བ་	སེལ་བ་	VERB
འི་	གི་	PART
ཐབས་	ཐབས་	NOUN
ལ་	ལ་	PART
༔		PUNCT
རྣམ་རྟོག་	རྣམ་རྟོག་	NOUN
བྱིང་བ་	བྱིང་བ་	VERB
དང་	དང་	NO_POS
༔		PUNCT
རྒོད་པ་	རྒོད་པ་	VERB
གཉིས་	གཉིས་	NUM
ཡིན་	ཡིན་	NO_POS
ཏེ་	སྟེ་	PART
༔		PUNCT
བྱིང་བ་	བྱིང་བ་	VERB
ལ་	ལ་	PART
གནས་	གནས་	NOUN
ཀྱིས་	གིས་	PART
བྱིང་བ་	བྱིང་བ་	VERB
དང་	དང་	NO_POS
༔		PUNCT
གྲོག་	གྲོག་	NOUN
ཀྱིས་	གིས་	PART
སོ་	གོ་	PART
༔		PUNCT
གནས་	གནས་	NOUN
ཀྱིས་	གིས་	PART
བྱིང་བ་	བྱིང་བ་	VERB
