form	lemma	POS	morph
ད་	ད་	ADV
༽		PUNCT
པ་	པ་	PART
ལ་	ལ་	PART
།		PUNCT
བཀའ་	བཀའ་	NOUN
བབ་	བབ་	VERB
བཞི་པ་	བཞི་པ་	ADJ
དགོངས་གཏེར་	དགོངས་གཏེར་	OTHER
གྱི་	གི་	PART
སྐོར་	སྐོར་	NOUN
ལ་	ལ་	PART
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
མཚོ་སྐྱེས་	མཚོ་སྐྱེས་	OTHER
སྙིང་ཏིག་	སྙིང་ཏིག་	OTHER
གི་	གི་	PART
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
འི་	གི་	PART
གསོལ་འདེབས་	གསོལ་འདེབས་	NOUN
སྒྱུ་འཕྲུལ་	སྒྱུ་འཕྲུལ་	PROPN
རོལ་མོ་	རོལ་མོ་	NOUN
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
མཚོ་སྐྱེས་	མཚོ་སྐྱེས་	OTHER
སྙིང་ཏིག་	སྙིང་ཏིག་	OTHER
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
རྩ་བ་	རྩ་བ་	NOUN
འི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
སྒྱུ་འཕྲུལ་	སྒྱུ་འཕྲུལ་	PROPN
དྲྭ་བ་	དྲྭ་བ་	NON_WORD
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
མཚོ་སྐྱེས་	མཚོ་སྐྱེས་	OTHER
སྙིང་ཏིག་	སྙིང་ཏིག་	OTHER
གི་	གི་	PART
མཆོད་	མཆོད་	VERB
ཕྲེང་	ཕྲེང་	OTHER
ལྷན་ཐབས་	ལྷན་ཐབས་	OTHER
སུ་	ལ་	PART
སྦྱར་བ་	སྦྱར་བ་	VERB
སྒྱུ་འཕྲུལ་	སྒྱུ་འཕྲུལ་	PROPN
དྲྭ་བ་	དྲྭ་བ་	NON_WORD
འི་	གི་	PART
རྒྱན་	རྒྱན་	NOUN
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
མཚོ་སྐྱེས་	མཚོ་སྐྱེས་	OTHER
སྙིང་ཏིག་	སྙིང་ཏིག་	OTHER
རྩ་བ་	རྩ་བ་	NOUN
ཡན་ལག་	ཡན་ལག་	NOUN
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
འི་	གི་	PART
སྐོང་བ་	སྐོང་བ་	VERB
སྒྱུ་འཕྲུལ་	སྒྱུ་འཕྲུལ་	PROPN
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
བཀོད་པ་	བཀོད་པ་	VERB
འི་	གི་	PART
སྤྲིན་ཕུང་	སྤྲིན་ཕུང་	NOUN
།		PUNCT
རྩ་	རྩ་	NUM
གསུམ་	གསུམ་	NUM
སྐོང་	སྐོང་	NO_POS
བཤགས་	བཤགས་	NO_POS
ཉེ་	ཉེ་	NUM
བསྡུ་	བསྡུ་	VERB
ཀུན་བཟང་	ཀུན་བཟང་	ADJ
མཆོད་སྤྲིན་	མཆོད་སྤྲིན་	OTHER
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
མཚོ་སྐྱེས་	མཚོ་སྐྱེས་	OTHER
སྙིང་ཏིག་	སྙིང་ཏིག་	OTHER
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
སྨིན་	སྨིན་	VERB
བྱེད་	བྱེད་	VERB
རྩ་བ་	རྩ་བ་	NOUN
འི་	གི་	PART
དབང་	དབང་	NOUN
བཞི་	བཞི་	NUM
བཀླག་	བཀླག་	VERB
ཆོག་	ཆོག་	VERB
ཏུ་	ལ་	PART
བཀོད་པ་	བཀོད་པ་	VERB
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
བདུད་རྩི་	བདུད་རྩི་	NOUN
འི་	གི་	PART
ཆར་རྒྱུན་	ཆར་རྒྱུན་	OTHER
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
མཚོ་སྐྱེས་	མཚོ་སྐྱེས་	OTHER
སྙིང་ཏིག་	སྙིང་ཏིག་	OTHER
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
སྨིན་	སྨིན་	VERB
བྱེད་	བྱེད་	VERB
རྩ་བ་	རྩ་བ་	NOUN
འི་	གི་	PART
དབང་	དབང་	NOUN
བཞི་	བཞི་	NUM
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
འཕགས་མ་	འཕགས་མ་	OTHER
འི་	གི་	PART
སྙིང་ཐིག་	སྙིང་ཐིག་	NOUN
གི་	གི་	PART
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
འི་	གི་	PART
གསོལ་འདེབས་	གསོལ་འདེབས་	NOUN
ཚེ་དབང་	ཚེ་དབང་	PROPN
བཅུད་འཛིན་	བཅུད་འཛིན་	NO_POS
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
འཕགས་མ་	འཕགས་མ་	OTHER
འི་	གི་	PART
སྙིང་ཐིག་	སྙིང་ཐིག་	NOUN
ལ་	ལ་	ADP
ས་	གིས་	PART
།		PUNCT
ཕྲིན་ལས་	ཕྲིན་ལས་	NOUN
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
སྣང་བ་	སྣང་བ་	VERB
།		PUNCT
འཆི་མེད་	འཆི་མེད་	NOUN
འཕགས་མ་	འཕགས་མ་	OTHER
འི་	གི་	PART
